Site Name,Date,Entero Count,4 Days Total Rain (in),Number of Samples,Geometric Mean,Max,Min
Hudson above Mohawk River,10/19/17,8,0,72,27,>2420,<1
Hudson above Mohawk River,9/14/17,19,0,72,27,>2420,<1
Hudson above Mohawk River,8/17/17,4,0,72,27,>2420,<1
Hudson above Mohawk River,7/13/17,71,0.4,72,27,>2420,<1
Hudson above Mohawk River,6/15/17,7,0,72,27,>2420,<1
Hudson above Mohawk River,5/18/17,6,0.3,72,27,>2420,<1
Hudson above Mohawk River,4/7/17,>2420,1.4,72,27,>2420,<1
Mohawk River at Waterford,10/19/17,91,0,71,229,>2420,4
Mohawk River at Waterford,9/14/17,727,0,71,229,>2420,4
Mohawk River at Waterford,8/17/17,>2420,0,71,229,>2420,4
Mohawk River at Waterford,7/13/17,2420,0.4,71,229,>2420,4
Mohawk River at Waterford,6/15/17,89,0,71,229,>2420,4
Mohawk River at Waterford,5/18/17,32,0.3,71,229,>2420,4
Hudson River above Troy Lock,10/19/17,50,0,74,109,>2420,3
Hudson River above Troy Lock,9/14/17,122,0,74,109,>2420,3
Hudson River above Troy Lock,8/17/17,435,0,74,109,>2420,3
Hudson River above Troy Lock,7/13/17,33,0.4,74,109,>2420,3
Hudson River above Troy Lock,6/15/17,31,0,74,109,>2420,3
Hudson River above Troy Lock,5/18/17,3,0.3,74,109,>2420,3
Hudson River above Troy Lock,4/7/17,93,1.4,74,109,>2420,3
Congress St. Bridge- Troy,10/19/17,39,0,75,77,>2420,2
Congress St. Bridge- Troy,9/14/17,88,0,75,77,>2420,2
Congress St. Bridge- Troy,8/17/17,613,0,75,77,>2420,2
Congress St. Bridge- Troy,7/13/17,55,0.4,75,77,>2420,2
Congress St. Bridge- Troy,6/15/17,24,0,75,77,>2420,2
Congress St. Bridge- Troy,5/18/17,4,0.3,75,77,>2420,2
Congress St. Bridge- Troy,4/7/17,488,1.4,75,77,>2420,2
Albany Rowing Dock,10/19/17,60,0,73,65,>2420,3
Albany Rowing Dock,9/14/17,34,0,73,65,>2420,3
Albany Rowing Dock,8/17/17,6,0,73,65,>2420,3
Albany Rowing Dock,7/13/17,52,0.4,73,65,>2420,3
Albany Rowing Dock,6/15/17,52,0,73,65,>2420,3
Albany Rowing Dock,5/18/17,11,0.3,73,65,>2420,3
Albany Rowing Dock,4/7/17,649,1.4,73,65,>2420,3
Dunn Memorial Bridge- Albany,10/19/17,24,0,75,69,>2420,2
Dunn Memorial Bridge- Albany,9/14/17,69,0,75,69,>2420,2
Dunn Memorial Bridge- Albany,8/17/17,13,0,75,69,>2420,2
Dunn Memorial Bridge- Albany,7/13/17,26,0.4,75,69,>2420,2
Dunn Memorial Bridge- Albany,6/15/17,34,0,75,69,>2420,2
Dunn Memorial Bridge- Albany,5/18/17,6,0.3,75,69,>2420,2
Dunn Memorial Bridge- Albany,4/7/17,344,1.4,75,69,>2420,2
Island Creek/Normans Kill,10/19/17,51,0,72,81,>2420,2
Island Creek/Normans Kill,9/14/17,23,0,72,81,>2420,2
Island Creek/Normans Kill,8/17/17,15,0,72,81,>2420,2
Island Creek/Normans Kill,7/13/17,416,0.4,72,81,>2420,2
Island Creek/Normans Kill,6/15/17,17,0,72,81,>2420,2
Island Creek/Normans Kill,5/18/17,5,0.3,72,81,>2420,2
Island Creek/Normans Kill,4/7/17,53,1.4,72,81,>2420,2
Bethlehem Launch Ramp,10/19/17,43,0,72,31,>2420,<1
Bethlehem Launch Ramp,9/14/17,18,0,72,31,>2420,<1
Bethlehem Launch Ramp,8/17/17,21,0,72,31,>2420,<1
